763	11	5	'шт.'	1
764	11	1	'шт.'	2
765	11	2	'шт.'	3
766	11	1	'шт.'	4
767	11	1	'шт.'	5
768	11	3	'шт.'	6
769	11	6	'шт.'	7
770	11	5	'шт.'	8
771	11	2	'шт.'	9
772	11	4	'шт.'	10
773	11	1	'шт.'	11
774	11	3	'шт.'	12
775	11	1	'шт.'	13
776	11	1	'шт.'	14
777	11	1	'шт.'	15
778	11	4	'шт.'	16
779	11	4	'шт.'	17
780	11	1	'шт.'	18
781	11	3	'шт.'	19
782	11	15	'шт.'	20
783	11	2	'шт.'	21
784	11	8	'шт.'	22
785	11	5	'шт.'	23
786	11	4	'шт.'	24
787	11	1	'шт.'	25
788	11	1	'шт.'	26
789	11	6	'шт.'	27
790	11	1	'шт.'	28
791	11	1	'шт.'	29
792	11	3	'шт.'	30
793	11	1	'шт.'	31
794	11	2	'шт.'	32
795	11	8	'шт.'	33
796	11	3	'шт.'	34
797	11	6	'шт.'	35
798	11	1	'шт.'	36
799	11	5	'шт.'	37
800	11	11	'шт.'	38
801	11	5	'шт.'	39
802	11	2	'шт.'	40
803	11	1	'шт.'	41
804	11	1	'шт.'	42
805	11	1	'шт.'	43
806	11	2	'шт.'	44
807	11	5	'шт.'	45
808	11	1	'шт.'	46
809	11	5	'шт.'	47
809	11	12	'шт.'	48
810	11	3	'шт.'	49
811	11	3	'шт.'	50
812	11	3	'шт.'	51
813	11	3	'шт.'	52
814	11	2	'шт.'	53
815	11	2	'шт.'	54
816	11	5	'шт.'	55
817	11	1	'шт.'	56
818	11	9	'шт.'	57
819	11	1	'шт.'	58
820	11	3	'шт.'	59
821	11	5	'шт.'	60
822	11	1	'шт.'	61
823	11	6	'шт.'	62
824	11	1	'шт.'	63
825	11	3	'шт.'	64
826	11	3	'шт.'	65
827	11	6	'шт.'	66
828	11	3	'шт.'	67
829	11	3	'шт.'	68
830	11	5	'шт.'	69
831	11	4	'шт.'	70
832	11	1	'шт.'	71
833	11	6	'шт.'	72
834	11	2	'шт.'	73
835	11	5	'шт.'	74
836	11	3	'шт.'	75
840	11	4	'шт.'	79
841	11	3	'шт.'	80
842	11	4	'шт.'	81
843	11	4	'шт.'	82
844	11	4	'шт.'	83
845	11	12	'шт.'	84
846	11	12	'шт.'	85
847	11	8	'шт.'	86
848	11	8	'шт.'	87
849	11	3	'шт.'	88
850	11	8	'шт.'	89
